"";"c";"d"
"1";"ABEL_MESQUITA_JR.";"178957"
"2";"ADAIL_CARNEIRO";"178864"
"3";"ADALBERTO_CAVALCANTI";"178914"
"4";"ADELMO_CARNEIRO_LEAO";"178890"
"5";"ADELSON_BARRETO";"178968"
"6";"ADEMIR_CAMILO";"133374"
"7";"ADERMIS_MARINI";"196359"
"8";"ADILTON_SACHETTI";"178903"
"9";"AELTON_FREITAS";"141372"
"10";"AFONSO_FLORENCE";"160508"
"11";"AFONSO_HAMM";"136811"
"12";"AFONSO_MOTTA";"178835"
"13";"AGUINALDO_RIBEIRO";"160527"
"14";"ALAN_RICK";"178836"
"15";"ALBERTO_FILHO";"160582"
"16";"ALBERTO_FRAGA";"73579"
"17";"ALCEU_MOREIRA";"160559"
"18";"ALESSANDRO_MOLON";"160511"
"19";"ALEX_CANZIANI";"73458"
"20";"ALEX_MANENTE";"178972"
"21";"ALEXANDRE_BALDY";"178875"
"22";"ALEXANDRE_LEITE";"160545"
"23";"ALEXANDRE_SERFIOTIS";"178833"
"24";"ALEXANDRE_VALLE";"178936"
"25";"ALFREDO_KAEFER";"141454"
"26";"ALFREDO_NASCIMENTO";"178846"
"27";"ALICE_PORTUGAL";"74057"
"28";"ALIEL_MACHADO";"178927"
"29";"ALTINEU_CORTES";"178937"
"30";"ALUISIO_MENDES";"178881"
"31";"ANA_PERUGINI";"178973"
"32";"ANDERSON_FERREIRA";"160551"
"33";"ANDRE_ABDON";"178831"
"34";"ANDRE_AMARAL";"195143"
"35";"ANDRE_DE_PAULA";"74471"
"36";"ANDRE_FIGUEIREDO";"133439"
"37";"ANDRE_FUFUCA";"178882"
"38";"ANDRE_MOURA";"160543"
"39";"ANDREIA_ZITO";"141379"
"40";"ANDRES_SANCHEZ";"178974"
"41";"ANGELA_ALBINO";"192120"
"42";"ANGELIM";"178837"
"43";"ANIBAL_GOMES";"74212"
"44";"ANTONIO_BALHMANN";"74213"
"45";"ANTONIO_BRITO";"160553"
"46";"ANTONIO_BULHOES";"141383"
"47";"ANTONIO_CARLOS_MENDES_THAME";"73584"
"48";"ANTONIO_IMBASSAHY";"160530"
"49";"ANTONIO_JACOME";"178950"
"50";"ARIOSTO_HOLANDA";"74103"
"51";"ARLINDO_CHINAGLIA";"73433"
"52";"ARNALDO_FARIA_DE_SA";"73434"
"53";"ARNALDO_JARDIM";"141391"
"54";"ARNALDO_JORDY";"160602"
"55";"ARNON_BEZERRA";"74291"
"56";"AROLDE_DE_OLIVEIRA";"74833"
"57";"ARTHUR_LIRA";"160541"
"58";"ARTHUR_OLIVEIRA_MAIA";"160600"
"59";"ARTHUR_VIRGILIO_BISNETO";"178847"
"60";"ASSIS_CARVALHO";"159237"
"61";"ASSIS_DO_COUTO";"74378"
"62";"ASSIS_MELO";"160581"
"63";"ATILA_A._NUNES";"193165"
"64";"ATILA_LINS";"74090"
"65";"ATILA_LIRA";"74459"
"66";"AUGUSTO_CARVALHO";"73655"
"67";"AUGUSTO_COUTINHO";"160665"
"68";"AUREO";"160512"
"69";"BACELAR";"69871"
"70";"BALEIA_ROSSI";"178975"
"71";"BEBETO";"178834"
"72";"BENEDITA_DA_SILVA";"73701"
"73";"BENITO_GAMA";"74535"
"74";"BENJAMIN_MARANHAO";"74040"
"75";"BETINHO_GOMES";"178915"
"76";"BETO_FARO";"141335"
"77";"BETO_MANSUR";"73437"
"78";"BETO_ROSADO";"178948"
"79";"BETO_SALAME";"178906"
"80";"BILAC_PINTO";"141513"
"81";"BOHN_GASS";"160538"
"82";"BONIFACIO_DE_ANDRADA";"74650"
"83";"BOSCO_COSTA";"74052"
"84";"BRUNA_FURLAN";"160589"
"85";"BRUNNY";"178999"
"86";"BRUNO_ARAUJO";"141394"
"87";"BRUNO_COVAS";"178976"
"88";"CABO_DACIOLO";"178938"
"89";"CABO_SABINO";"178865"
"90";"CABUCU_BORGES";"105112"
"91";"CACA_LEAO";"93083"
"92";"CAETANO";"178853"
"93";"CAIO_NARCIO";"178891"
"94";"CAJAR_NARDES";"194261"
"95";"CAPITAO_AUGUSTO";"178829"
"96";"CAPITAO_FABIO_ABREU";"178924"
"97";"CARLA_STEPHANINI";"205303"
"98";"CARLOS_ANDRADE";"178958"
"99";"CARLOS_BEZERRA";"141401"
"100";"CARLOS_EDUARDO_CADOCA";"74474"
"101";"CARLOS_GOMES";"178962"
"102";"CARLOS_HENRIQUE_GAGUIM";"178993"
"103";"CARLOS_MANATO";"74163"
"104";"CARLOS_MARUN";"178900"
"105";"CARLOS_MELLES";"74651"
"106";"CARLOS_SAMPAIO";"74262"
"107";"CARLOS_SOUZA";"73934"
"108";"CARLOS_ZARATTINI";"141398"
"109";"CARMEN_ZANOTTO";"164360"
"110";"CELIO_SILVEIRA";"178876"
"111";"CELSO_JACOB";"73568"
"112";"CELSO_MALDANER";"141405"
"113";"CELSO_PANSERA";"72912"
"114";"CELSO_RUSSOMANNO";"73441"
"115";"CESAR_HALUM";"160576"
"116";"CESAR_MESSIAS";"178838"
"117";"CESAR_SOUZA";"73720"
"118";"CHICO_ALENCAR";"74171"
"119";"CHICO_DANGELO";"141439"
"120";"CHICO_LOPES";"141440"
"121";"CHRISTIANE_DE_SOUZA_YARED";"178928"
"122";"CICERO_ALMEIDA";"178841"
"123";"CLARISSA_GAROTINHO";"178939"
"124";"CLAUDIO_CAJADO";"74537"
"125";"CLEBER_VERDE";"141408"
"126";"COLBERT_MARTINS";"74230"
"127";"CONCEICAO_SAMPAIO";"178848"
"128";"CORONEL_BITTENCOURT";"205302"
"129";"COVATTI_FILHO";"178963"
"130";"CREUZA_PEREIRA";"194258"
"131";"CRISTIANE_BRASIL";"93472"
"132";"DAGOBERTO_NOGUEIRA";"141411"
"133";"DAMIAO_FELICIANO";"74467"
"134";"DAMINA_PEREIRA";"178892"
"135";"DANIEL_ALMEIDA";"74060"
"136";"DANIEL_COELHO";"178916"
"137";"DANIEL_VILELA";"144523"
"138";"DANILO_CABRAL";"160528"
"139";"DANILO_FORTE";"62881"
"140";"DANRLEI_DE_DEUS_HINTERHOLZ";"160552"
"141";"DARCISIO_PERONDI";"73891"
"142";"DAVI_ALVES_SILVA_JUNIOR";"141412"
"143";"DAVIDSON_MAGALHAES";"101309"
"144";"DECIO_LIMA";"141413"
"145";"DEJORGE_PATRICIO";"196357"
"146";"DELEGADO_EDER_MAURO";"178908"
"147";"DELEGADO_EDSON_MOREIRA";"178893"
"148";"DELEGADO_FRANCISCHINI";"160646"
"149";"DELEGADO_WALDIR";"164359"
"150";"DELEY";"74172"
"151";"DEOCLIDES_MACEDO";"185500"
"152";"DIEGO_ANDRADE";"160588"
"153";"DIEGO_GARCIA";"178929"
"154";"DILCEU_SPERAFICO";"73768"
"155";"DIMAS_FABIANO";"160599"
"156";"DOMINGOS_NETO";"143632"
"157";"DOMINGOS_SAVIO";"160758"
"158";"DR._JOAO";"178940"
"159";"DR._JORGE_SILVA";"160643"
"160";"DR._SINVAL_MALHEIROS";"178830"
