DEPUTADOS,PARTIDO,UF,SITUAÇÃO
André Zacharow,PMDB,PR,Novo
Andréia Zito,PSDB,RJ,Reeleita
Antônia Lúcia,PSC,AC,Nova
Arolde de Oliveira,PSD,RJ,Reeleito
Benedita,PT,RJ,Nova
Bispo Antônio Bulhões,PRB,SP,Reeleito
Bruna Furlan,PSDB,SP,Nova
Cleber Verde,PRB,MA,Reeleito
Delegado Francischini,SDD,PR,Novo
Dona Iris Rezende,PMDB,GO,Reeleita
Dr. Adilson Soares,PR,RJ,Reeleito
Edinho Araújo,PMDB,SP,Novo
Edmar Arruda,PSC,PR,Novo
Eduardo Cunha,PMDB,RJ,Reeleito
Edivaldo Holanda Junior,PTC,MA,Novo
Erivelton Santana,PSC,BA,Novo
Fátima Pelaes,PMDB,AP,Reeleita
Filipe Pereira,PSC,RJ,Reeleito
Garotinho,PR,RJ,Novo
George Hilton,PRB,MG,Reeleito
Gilmar Machado,PT,MG,Reeleito
Henrique Afonso,PV,AC,Reeleito
Jefferson Campos,PSD,SP,Reeleito
João Campos,PSDB,GO,Reeleito
Jhonatan de Jesus,PRB,RR,Novo
Jorge Tadeu Mudalen,DEM,SP,Reeleito
Josué Bengtson,PTB,PA,Novo
Laércio Oliveira,SDD,SE,Novo
Lauriete Rodrigues,PSC,ES,Nova
Leonardo Quintão,PMDB,MG,Reeleito
Liliam Sá,PROS,RJ,Nova
Lincoln Portela,PR,MG,Reeleito
Lindomar Garçon,PV,RO,Reeleito
Manato,SDD,ES,Reeleito
Marcelo Aguiar,DEM,SP,Novo
Márcio Marinho,PRB,BA,Reeleito
Marco Feliciano,PSC,SP,Novo
Marcos Rogério,PDT,RO,Novo
Mário de Oliveira,PSC,MG,Reeleito
Missionário José Olimpo,PP,SP,Novo
Neilton Mulim,PR,RJ,Reeleito
Nilton Capixaba,PTB,RO,Novo
Onyx Lorenzoni,DEM,RS,Reeleito
Otoniel Lima,PRB,SP,Novo
Pastor Eurico,PSB,PE,Novo
Pastor Heleno,PRB,SE,Novo
Pastor Paulo Freire,PR,SP,Novo
Ruy Carneiro,PSDB,PB,Novo
Roberto de Lucena,PV,SP,Novo
Romero Rodrigues,PSDB,PB,Novo
Ronaldo Fonseca,PROS,DF,Novo
Sabino Castelo Branco,PTB,AM,Reeleito
Sérgio Brito,PSD,BA,Reeleito
Silas Câmara,PSD,AM,Reeleito
Sueli Vidigal,PDT,ES,Reeleita
Takayama,PSC,PR,Reeleito
Vaz de Lima,PSDB,SP,Novo
Vitor Paulo,PRB,RJ,Novo
Walter Tosta,PSD,MG,Novo
Washington Reis,PMDB,RJ,Novo
Zé Vieira,PROSS,MA,Reeleito
Zequinha Marinho,PSC,PA,Reeleito
